Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSMM'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 12,845,312
  scalars                 : 14
  total                   : 29,622,542
Estimated FLOPs per token: 1.187528e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010814 | lrm: 1.00 | dt: 16585ms | tok/sec: 3,951 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.911062 | lrm: 1.00 | dt: 166ms | tok/sec: 394,373 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.570065 | lrm: 1.00 | dt: 167ms | tok/sec: 391,854 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.161243 | lrm: 1.00 | dt: 168ms | tok/sec: 389,993 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.808765 | lrm: 1.00 | dt: 166ms | tok/sec: 394,243 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.510005 | lrm: 1.00 | dt: 167ms | tok/sec: 393,424 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.270426 | lrm: 1.00 | dt: 171ms | tok/sec: 384,318 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.064647 | lrm: 1.00 | dt: 166ms | tok/sec: 394,020 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.889792 | lrm: 1.00 | dt: 170ms | tok/sec: 385,837 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.748239 | lrm: 1.00 | dt: 168ms | tok/sec: 389,770 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.624792 | lrm: 1.00 | dt: 168ms | tok/sec: 389,377 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.516848 | lrm: 1.00 | dt: 167ms | tok/sec: 391,812 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.419692 | lrm: 1.00 | dt: 168ms | tok/sec: 389,626 | mfu: 4.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.335057 | lrm: 1.00 | dt: 168ms | tok/sec: 390,779 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00031 (1.1%) | loss: 5.497580 | lrm: 1.00 | dt: 169ms | tok/sec: 388,602 | mfu: 4.7% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.475524 | lrm: 1.00 | dt: 169ms | tok/sec: 386,838 | mfu: 4.6% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.452793 | lrm: 1.00 | dt: 168ms | tok/sec: 389,463 | mfu: 4.7% | epoch: 1 | remaining: 296s    
step 00034 (1.3%) | loss: 5.425282 | lrm: 1.00 | dt: 169ms | tok/sec: 387,863 | mfu: 4.7% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.398646 | lrm: 1.00 | dt: 168ms | tok/sec: 389,584 | mfu: 4.7% | epoch: 1 | remaining: 296s    
step 00036 (1.4%) | loss: 5.375067 | lrm: 1.00 | dt: 169ms | tok/sec: 387,137 | mfu: 4.6% | epoch: 1 | remaining: 296s    
step 00037 (1.5%) | loss: 5.350720 | lrm: 1.00 | dt: 167ms | tok/sec: 392,280 | mfu: 4.7% | epoch: 1 | remaining: 295s    
step 00038 (1.5%) | loss: 5.332109 | lrm: 1.00 | dt: 170ms | tok/sec: 384,520 | mfu: 4.6% | epoch: 1 | remaining: 295s    
step 00039 (1.6%) | loss: 5.304691 | lrm: 1.00 | dt: 168ms | tok/sec: 390,314 | mfu: 4.7% | epoch: 1 | remaining: 295s    
step 00040 (1.6%) | loss: 5.290522 | lrm: 1.00 | dt: 168ms | tok/sec: 389,101 | mfu: 4.7% | epoch: 1 | remaining: 295s    
step 00041 (1.7%) | loss: 5.272519 | lrm: 1.00 | dt: 167ms | tok/sec: 391,455 | mfu: 4.7% | epoch: 1 | remaining: 295s    
step 00042 (1.7%) | loss: 5.254682 | lrm: 1.00 | dt: 169ms | tok/sec: 388,415 | mfu: 4.7% | epoch: 1 | remaining: 295s    
step 00043 (1.8%) | loss: 5.239709 | lrm: 1.00 | dt: 169ms | tok/sec: 388,540 | mfu: 4.7% | epoch: 1 | remaining: 294s    
step 00044 (1.9%) | loss: 5.223985 | lrm: 1.00 | dt: 169ms | tok/sec: 387,732 | mfu: 4.7% | epoch: 1 | remaining: 294s    
step 00045 (1.9%) | loss: 5.202876 | lrm: 1.00 | dt: 169ms | tok/sec: 387,664 | mfu: 4.7% | epoch: 1 | remaining: 294s    
step 00046 (2.0%) | loss: 5.190394 | lrm: 1.00 | dt: 169ms | tok/sec: 388,004 | mfu: 4.7% | epoch: 1 | remaining: 294s    
step 00047 (2.0%) | loss: 5.168310 | lrm: 1.00 | dt: 168ms | tok/sec: 390,295 | mfu: 4.7% | epoch: 1 | remaining: 294s    
step 00048 (2.1%) | loss: 5.149001 | lrm: 1.00 | dt: 169ms | tok/sec: 386,898 | mfu: 4.6% | epoch: 1 | remaining: 294s    
step 00049 (2.1%) | loss: 5.134614 | lrm: 1.00 | dt: 168ms | tok/sec: 389,370 | mfu: 4.7% | epoch: 1 | remaining: 293s    
step 00050 (2.2%) | loss: 5.110685 | lrm: 1.00 | dt: 170ms | tok/sec: 386,301 | mfu: 4.6% | epoch: 1 | remaining: 293s    
step 00051 (2.2%) | loss: 5.085684 | lrm: 1.00 | dt: 169ms | tok/sec: 388,548 | mfu: 4.7% | epoch: 1 | remaining: 293s    
step 00052 (2.3%) | loss: 5.072410 | lrm: 1.00 | dt: 168ms | tok/sec: 389,226 | mfu: 4.7% | epoch: 1 | remaining: 293s    
step 00053 (2.4%) | loss: 5.054039 | lrm: 1.00 | dt: 168ms | tok/sec: 390,114 | mfu: 4.7% | epoch: 1 | remaining: 293s    
step 00054 (2.4%) | loss: 5.043173 | lrm: 1.00 | dt: 168ms | tok/sec: 389,450 | mfu: 4.7% | epoch: 1 | remaining: 293s    
step 00055 (2.5%) | loss: 5.031828 | lrm: 1.00 | dt: 168ms | tok/sec: 389,553 | mfu: 4.7% | epoch: 1 | remaining: 292s    
step 00056 (2.5%) | loss: 5.025457 | lrm: 1.00 | dt: 171ms | tok/sec: 384,108 | mfu: 4.6% | epoch: 1 | remaining: 292s    
step 00057 (2.6%) | loss: 5.009522 | lrm: 1.00 | dt: 168ms | tok/sec: 389,941 | mfu: 4.7% | epoch: 1 | remaining: 292s    
step 00058 (2.6%) | loss: 4.991356 | lrm: 1.00 | dt: 170ms | tok/sec: 386,495 | mfu: 4.6% | epoch: 1 | remaining: 292s    
step 00059 (2.7%) | loss: 4.976830 | lrm: 1.00 | dt: 168ms | tok/sec: 389,049 | mfu: 4.7% | epoch: 1 | remaining: 292s    
step 00060 (2.8%) | loss: 4.961370 | lrm: 1.00 | dt: 168ms | tok/sec: 390,745 | mfu: 4.7% | epoch: 1 | remaining: 292s    
step 00061 (2.8%) | loss: 4.948272 | lrm: 1.00 | dt: 170ms | tok/sec: 386,547 | mfu: 4.6% | epoch: 1 | remaining: 291s    
step 00062 (2.9%) | loss: 4.932241 | lrm: 1.00 | dt: 170ms | tok/sec: 384,763 | mfu: 4.6% | epoch: 1 | remaining: 291s    
step 00063 (2.9%) | loss: 4.918636 | lrm: 1.00 | dt: 169ms | tok/sec: 388,787 | mfu: 4.7% | epoch: 1 | remaining: 291s    
step 00064 (3.0%) | loss: 4.901845 | lrm: 1.00 | dt: 168ms | tok/sec: 390,946 | mfu: 4.7% | epoch: 1 | remaining: 291s    
step 00065 (3.0%) | loss: 4.885712 | lrm: 1.00 | dt: 169ms | tok/sec: 387,152 | mfu: 4.6% | epoch: 1 | remaining: 291s    
step 00066 (3.1%) | loss: 4.866105 | lrm: 1.00 | dt: 168ms | tok/sec: 389,661 | mfu: 4.7% | epoch: 1 | remaining: 291s    
step 00067 (3.1%) | loss: 4.862039 | lrm: 1.00 | dt: 170ms | tok/sec: 385,576 | mfu: 4.6% | epoch: 1 | remaining: 290s    
step 00068 (3.2%) | loss: 4.853767 | lrm: 1.00 | dt: 170ms | tok/sec: 385,648 | mfu: 4.6% | epoch: 1 | remaining: 290s    
step 00069 (3.3%) | loss: 4.829845 | lrm: 1.00 | dt: 168ms | tok/sec: 389,268 | mfu: 4.7% | epoch: 1 | remaining: 290s    
step 00070 (3.3%) | loss: 4.811448 | lrm: 1.00 | dt: 169ms | tok/sec: 388,263 | mfu: 4.7% | epoch: 1 | remaining: 290s    
step 00071 (3.4%) | loss: 4.803229 | lrm: 1.00 | dt: 168ms | tok/sec: 389,236 | mfu: 4.7% | epoch: 1 | remaining: 290s    
step 00072 (3.4%) | loss: 4.793642 | lrm: 1.00 | dt: 168ms | tok/sec: 389,754 | mfu: 4.7% | epoch: 1 | remaining: 290s    
step 00073 (3.5%) | loss: 4.785619 | lrm: 1.00 | dt: 168ms | tok/sec: 390,159 | mfu: 4.7% | epoch: 1 | remaining: 289s    
step 00074 (3.5%) | loss: 4.770748 | lrm: 1.00 | dt: 171ms | tok/sec: 383,905 | mfu: 4.6% | epoch: 1 | remaining: 289s    
step 00075 (3.6%) | loss: 4.754064 | lrm: 1.00 | dt: 169ms | tok/sec: 387,532 | mfu: 4.7% | epoch: 1 | remaining: 289s    
step 00076 (3.7%) | loss: 4.742125 | lrm: 1.00 | dt: 168ms | tok/sec: 390,261 | mfu: 4.7% | epoch: 1 | remaining: 289s    
step 00077 (3.7%) | loss: 4.731431 | lrm: 1.00 | dt: 168ms | tok/sec: 390,497 | mfu: 4.7% | epoch: 1 | remaining: 289s    
step 00078 (3.8%) | loss: 4.721208 | lrm: 1.00 | dt: 169ms | tok/sec: 386,818 | mfu: 4.6% | epoch: 1 | remaining: 289s    
step 00079 (3.8%) | loss: 4.704856 | lrm: 1.00 | dt: 170ms | tok/sec: 386,279 | mfu: 4.6% | epoch: 1 | remaining: 288s    
step 00080 (3.9%) | loss: 4.692079 | lrm: 1.00 | dt: 168ms | tok/sec: 390,752 | mfu: 4.7% | epoch: 1 | remaining: 288s    
step 00081 (3.9%) | loss: 4.675457 | lrm: 1.00 | dt: 171ms | tok/sec: 382,539 | mfu: 4.6% | epoch: 1 | remaining: 288s    
step 00082 (4.0%) | loss: 4.660345 | lrm: 1.00 | dt: 168ms | tok/sec: 389,602 | mfu: 4.7% | epoch: 1 | remaining: 288s    
step 00083 (4.0%) | loss: 4.651592 | lrm: 1.00 | dt: 168ms | tok/sec: 390,367 | mfu: 4.7% | epoch: 1 | remaining: 288s    
step 00084 (4.1%) | loss: 4.641419 | lrm: 1.00 | dt: 169ms | tok/sec: 388,407 | mfu: 4.7% | epoch: 1 | remaining: 288s    
step 00085 (4.2%) | loss: 4.632088 | lrm: 1.00 | dt: 171ms | tok/sec: 384,025 | mfu: 4.6% | epoch: 1 | remaining: 287s    
step 00086 (4.2%) | loss: 4.622279 | lrm: 1.00 | dt: 169ms | tok/sec: 388,865 | mfu: 4.7% | epoch: 1 | remaining: 287s    
step 00087 (4.3%) | loss: 4.607679 | lrm: 1.00 | dt: 168ms | tok/sec: 391,150 | mfu: 4.7% | epoch: 1 | remaining: 287s    
step 00088 (4.3%) | loss: 4.595314 | lrm: 1.00 | dt: 168ms | tok/sec: 390,058 | mfu: 4.7% | epoch: 1 | remaining: 287s    
step 00089 (4.4%) | loss: 4.583454 | lrm: 1.00 | dt: 167ms | tok/sec: 391,462 | mfu: 4.7% | epoch: 1 | remaining: 287s    
step 00090 (4.4%) | loss: 4.575073 | lrm: 1.00 | dt: 169ms | tok/sec: 387,516 | mfu: 4.7% | epoch: 1 | remaining: 287s    
step 00091 (4.5%) | loss: 4.569110 | lrm: 1.00 | dt: 170ms | tok/sec: 385,800 | mfu: 4.6% | epoch: 1 | remaining: 286s    
step 00092 (4.6%) | loss: 4.563098 | lrm: 1.00 | dt: 169ms | tok/sec: 386,859 | mfu: 4.6% | epoch: 1 | remaining: 286s    
step 00093 (4.6%) | loss: 4.555230 | lrm: 1.00 | dt: 169ms | tok/sec: 388,403 | mfu: 4.7% | epoch: 1 | remaining: 286s    
step 00094 (4.7%) | loss: 4.544776 | lrm: 1.00 | dt: 169ms | tok/sec: 388,906 | mfu: 4.7% | epoch: 1 | remaining: 286s    
step 00095 (4.7%) | loss: 4.537596 | lrm: 1.00 | dt: 168ms | tok/sec: 389,086 | mfu: 4.7% | epoch: 1 | remaining: 286s    
step 00096 (4.8%) | loss: 4.525574 | lrm: 1.00 | dt: 168ms | tok/sec: 389,074 | mfu: 4.7% | epoch: 1 | remaining: 285s    
step 00097 (4.8%) | loss: 4.518785 | lrm: 1.00 | dt: 170ms | tok/sec: 385,004 | mfu: 4.6% | epoch: 1 | remaining: 285s    
step 00098 (4.9%) | loss: 4.502044 | lrm: 1.00 | dt: 169ms | tok/sec: 387,279 | mfu: 4.6% | epoch: 1 | remaining: 285s    
step 00099 (4.9%) | loss: 4.499460 | lrm: 1.00 | dt: 168ms | tok/sec: 389,390 | mfu: 4.7% | epoch: 1 | remaining: 285s    
step 00100 (5.0%) | loss: 4.485902 | lrm: 1.00 | dt: 167ms | tok/sec: 391,507 | mfu: 4.7% | epoch: 1 | remaining: 285s    
step 00101 (5.1%) | loss: 4.476790 | lrm: 1.00 | dt: 168ms | tok/sec: 389,401 | mfu: 4.7% | epoch: 1 | remaining: 285s    
step 00102 (5.1%) | loss: 4.469066 | lrm: 1.00 | dt: 168ms | tok/sec: 390,429 | mfu: 4.7% | epoch: 1 | remaining: 284s    
step 00103 (5.2%) | loss: 4.453632 | lrm: 1.00 | dt: 171ms | tok/sec: 383,548 | mfu: 4.6% | epoch: 1 | remaining: 284s    
step 00104 (5.2%) | loss: 4.440958 | lrm: 1.00 | dt: 169ms | tok/sec: 386,923 | mfu: 4.6% | epoch: 1 | remaining: 284s    
step 00105 (5.3%) | loss: 4.420275 | lrm: 1.00 | dt: 169ms | tok/sec: 387,884 | mfu: 4.7% | epoch: 1 | remaining: 284s    
step 00106 (5.3%) | loss: 4.411877 | lrm: 1.00 | dt: 168ms | tok/sec: 389,712 | mfu: 4.7% | epoch: 1 | remaining: 284s    
step 00107 (5.4%) | loss: 4.408779 | lrm: 1.00 | dt: 171ms | tok/sec: 384,090 | mfu: 4.6% | epoch: 1 | remaining: 284s    
step 00108 (5.5%) | loss: 4.399574 | lrm: 1.00 | dt: 169ms | tok/sec: 388,172 | mfu: 4.7% | epoch: 1 | remaining: 283s    
step 00109 (5.5%) | loss: 4.389602 | lrm: 1.00 | dt: 169ms | tok/sec: 388,678 | mfu: 4.7% | epoch: 1 | remaining: 283s    
step 00110 (5.6%) | loss: 4.382150 | lrm: 1.00 | dt: 170ms | tok/sec: 384,653 | mfu: 4.6% | epoch: 1 | remaining: 283s    
step 00111 (5.6%) | loss: 4.369861 | lrm: 1.00 | dt: 168ms | tok/sec: 391,063 | mfu: 4.7% | epoch: 1 | remaining: 283s    
step 00112 (5.7%) | loss: 4.356171 | lrm: 1.00 | dt: 169ms | tok/sec: 387,456 | mfu: 4.6% | epoch: 1 | remaining: 283s    
step 00113 (5.7%) | loss: 4.346639 | lrm: 1.00 | dt: 168ms | tok/sec: 390,928 | mfu: 4.7% | epoch: 1 | remaining: 283s    
step 00114 (5.8%) | loss: 4.340736 | lrm: 1.00 | dt: 170ms | tok/sec: 386,543 | mfu: 4.6% | epoch: 1 | remaining: 282s    
step 00115 (5.8%) | loss: 4.329358 | lrm: 1.00 | dt: 170ms | tok/sec: 386,280 | mfu: 4.6% | epoch: 1 | remaining: 282s    
step 00116 (5.9%) | loss: 4.326022 | lrm: 1.00 | dt: 170ms | tok/sec: 385,423 | mfu: 4.6% | epoch: 1 | remaining: 282s    
step 00117 (6.0%) | loss: 4.319320 | lrm: 1.00 | dt: 172ms | tok/sec: 381,590 | mfu: 4.6% | epoch: 1 | remaining: 282s    
step 00118 (6.0%) | loss: 4.303727 | lrm: 1.00 | dt: 167ms | tok/sec: 391,851 | mfu: 4.7% | epoch: 1 | remaining: 282s    
step 00119 (6.1%) | loss: 4.294275 | lrm: 1.00 | dt: 169ms | tok/sec: 388,078 | mfu: 4.7% | epoch: 1 | remaining: 282s    
step 00120 (6.1%) | loss: 4.285875 | lrm: 1.00 | dt: 168ms | tok/sec: 389,355 | mfu: 4.7% | epoch: 1 | remaining: 281s    
step 00121 (6.2%) | loss: 4.275763 | lrm: 1.00 | dt: 170ms | tok/sec: 385,280 | mfu: 4.6% | epoch: 1 | remaining: 281s    
step 00122 (6.2%) | loss: 4.264456 | lrm: 1.00 | dt: 170ms | tok/sec: 386,548 | mfu: 4.6% | epoch: 1 | remaining: 281s    
step 00123 (6.3%) | loss: 4.254087 | lrm: 1.00 | dt: 169ms | tok/sec: 388,808 | mfu: 4.7% | epoch: 1 | remaining: 281s    
step 00124 (6.4%) | loss: 4.243811 | lrm: 1.00 | dt: 169ms | tok/sec: 388,907 | mfu: 4.7% | epoch: 1 | remaining: 281s    
step 00125 (6.4%) | loss: 4.236350 | lrm: 1.00 | dt: 171ms | tok/sec: 383,090 | mfu: 4.6% | epoch: 1 | remaining: 281s    
step 00126 (6.5%) | loss: 4.234188 | lrm: 1.00 | dt: 169ms | tok/sec: 387,034 | mfu: 4.6% | epoch: 1 | remaining: 280s    
step 00127 (6.5%) | loss: 4.225550 | lrm: 1.00 | dt: 171ms | tok/sec: 384,248 | mfu: 4.6% | epoch: 1 | remaining: 280s    
step 00128 (6.6%) | loss: 4.216497 | lrm: 1.00 | dt: 168ms | tok/sec: 388,940 | mfu: 4.7% | epoch: 1 | remaining: 280s    
step 00129 (6.6%) | loss: 4.212223 | lrm: 1.00 | dt: 170ms | tok/sec: 384,493 | mfu: 4.6% | epoch: 1 | remaining: 280s    
step 00130 (6.7%) | loss: 4.211261 | lrm: 1.00 | dt: 168ms | tok/sec: 389,546 | mfu: 4.7% | epoch: 1 | remaining: 280s    
step 00131 (6.8%) | loss: 4.198998 | lrm: 1.00 | dt: 169ms | tok/sec: 387,526 | mfu: 4.7% | epoch: 1 | remaining: 280s    
step 00132 (6.8%) | loss: 4.190103 | lrm: 1.00 | dt: 168ms | tok/sec: 390,259 | mfu: 4.7% | epoch: 1 | remaining: 279s    
step 00133 (6.9%) | loss: 4.176393 | lrm: 1.00 | dt: 172ms | tok/sec: 381,675 | mfu: 4.6% | epoch: 1 | remaining: 279s    
step 00134 (6.9%) | loss: 4.169441 | lrm: 1.00 | dt: 169ms | tok/sec: 387,102 | mfu: 4.6% | epoch: 1 | remaining: 279s    
step 00135 (7.0%) | loss: 4.167657 | lrm: 1.00 | dt: 167ms | tok/sec: 392,489 | mfu: 4.7% | epoch: 1 | remaining: 279s    
step 00136 (7.0%) | loss: 4.157863 | lrm: 1.00 | dt: 169ms | tok/sec: 387,554 | mfu: 4.7% | epoch: 1 | remaining: 279s    
step 00137 (7.1%) | loss: 4.149285 | lrm: 1.00 | dt: 169ms | tok/sec: 388,470 | mfu: 4.7% | epoch: 1 | remaining: 279s    
step 00138 (7.1%) | loss: 4.141385 | lrm: 1.00 | dt: 169ms | tok/sec: 387,443 | mfu: 4.6% | epoch: 1 | remaining: 278s    
step 00139 (7.2%) | loss: 4.133007 | lrm: 1.00 | dt: 169ms | tok/sec: 388,139 | mfu: 4.7% | epoch: 1 | remaining: 278s    
step 00140 (7.3%) | loss: 4.125797 | lrm: 1.00 | dt: 169ms | tok/sec: 387,463 | mfu: 4.7% | epoch: 1 | remaining: 278s    
step 00141 (7.3%) | loss: 4.127143 | lrm: 1.00 | dt: 169ms | tok/sec: 388,443 | mfu: 4.7% | epoch: 1 | remaining: 278s    
step 00142 (7.4%) | loss: 4.115894 | lrm: 1.00 | dt: 169ms | tok/sec: 387,488 | mfu: 4.7% | epoch: 1 | remaining: 278s    
step 00143 (7.4%) | loss: 4.103272 | lrm: 1.00 | dt: 168ms | tok/sec: 389,295 | mfu: 4.7% | epoch: 1 | remaining: 278s    
step 00144 (7.5%) | loss: 4.101996 | lrm: 1.00 | dt: 169ms | tok/sec: 388,121 | mfu: 4.7% | epoch: 1 | remaining: 277s    
step 00145 (7.5%) | loss: 4.096440 | lrm: 1.00 | dt: 169ms | tok/sec: 387,114 | mfu: 4.6% | epoch: 1 | remaining: 277s    
step 00146 (7.6%) | loss: 4.087419 | lrm: 1.00 | dt: 170ms | tok/sec: 384,475 | mfu: 4.6% | epoch: 1 | remaining: 277s    
step 00147 (7.7%) | loss: 4.085828 | lrm: 1.00 | dt: 168ms | tok/sec: 389,737 | mfu: 4.7% | epoch: 1 | remaining: 277s    
step 00148 (7.7%) | loss: 4.085637 | lrm: 1.00 | dt: 167ms | tok/sec: 392,256 | mfu: 4.7% | epoch: 1 | remaining: 277s    
step 00149 (7.8%) | loss: 4.083143 | lrm: 1.00 | dt: 170ms | tok/sec: 386,459 | mfu: 4.6% | epoch: 1 | remaining: 277s    
step 00150 (7.8%) | loss: 4.073602 | lrm: 1.00 | dt: 172ms | tok/sec: 382,036 | mfu: 4.6% | epoch: 1 | remaining: 276s    
step 00151 (7.9%) | loss: 4.074847 | lrm: 1.00 | dt: 171ms | tok/sec: 383,690 | mfu: 4.6% | epoch: 1 | remaining: 276s    
step 00152 (7.9%) | loss: 4.068152 | lrm: 1.00 | dt: 168ms | tok/sec: 390,238 | mfu: 4.7% | epoch: 1 | remaining: 276s    
step 00153 (8.0%) | loss: 4.063895 | lrm: 1.00 | dt: 170ms | tok/sec: 385,327 | mfu: 4.6% | epoch: 1 | remaining: 276s    
step 00154 (8.0%) | loss: 4.050873 | lrm: 1.00 | dt: 168ms | tok/sec: 391,042 | mfu: 4.7% | epoch: 1 | remaining: 276s    
step 00155 (8.1%) | loss: 4.045135 | lrm: 1.00 | dt: 169ms | tok/sec: 388,459 | mfu: 4.7% | epoch: 1 | remaining: 276s    
